id,file,status,source,detail,unknown,opcode_empty
00088,BlindAuctionMulti_b3_005__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindAuctionMulti_b3_005__expression_0000.json (deployed_bytecode),,0
00089,BlindAuctionMulti_b3_005__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindAuctionMulti_b3_005__dead_code_0000.json (deployed_bytecode),,0
00090,BlindBingoGame__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindBingoGame__rename_0000.json (deployed_bytecode),,0
00091,BlindBingoGame__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindBingoGame__expression_0000.json (deployed_bytecode),,0
00092,BlindBingoGame__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\BlindBingoGame__fhe_swap_0000.json (deployed_bytecode),,0
00093,BlindBingoGame__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindBingoGame__dead_code_0000.json (deployed_bytecode),,0
00094,BlindDutchAuction_b13_004__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindDutchAuction_b13_004__rename_0000.json (deployed_bytecode),,0
00095,BlindDutchAuction_b13_004__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindDutchAuction_b13_004__expression_0000.json (deployed_bytecode),,0
00096,BlindDutchAuction_b13_004__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindDutchAuction_b13_004__dead_code_0000.json (deployed_bytecode),,0
00097,BlindKPIBonus_b8_002__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindKPIBonus_b8_002__rename_0000.json (deployed_bytecode),,0
00098,BlindKPIBonus_b8_002__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindKPIBonus_b8_002__expression_0000.json (deployed_bytecode),,0
00099,BlindKPIBonus_b8_002__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\BlindKPIBonus_b8_002__fhe_swap_0000.json (deployed_bytecode),,0
00100,BlindKPIBonus_b8_002__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindKPIBonus_b8_002__dead_code_0000.json (deployed_bytecode),,0
00101,BlindMatchmakingDating__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindMatchmakingDating__rename_0000.json (deployed_bytecode),,0
00102,BlindMatchmakingDating__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindMatchmakingDating__expression_0000.json (deployed_bytecode),,0
